Peru Primera Division Clausura-22,1m 12s,Melgar,Binacional,1.22,5.6,10
Copa Chile Quarter-Final,1m 12s,Cobreloa,Magallanes,1.88,3,4.2
Brazil Serie B Regular Season-22,8:00,Tombense,Gremio Novorizontino,2.9,2.7,2.5
Mexico Liga de Ascenso Apertura-22,8:00,Atletico Morelia,Tepatitlan FC,1.62,3.6,4.6
Costa Rica Primera Division Apertura-22,9:00,AD Santos de Guapiles,Municipal de Perez Zeledon,2.25,3.4,2.7
Mexico Liga de Ascenso Apertura-22,10:05,Tapatio,Venados FC,2.2,3,3.1
Brazil Serie B Regular Season-22,10:30,Vasco da Gama,Londrina,1.65,3.2,5.3
Colombia Primera A Clausura-22,11:00,Santa Fe,Atletico Nacional,2.7,3.1,2.4
Costa Rica Primera Division Apertura-22,11:15,Sporting San Jose FC,AD San Carlos,2.05,3.4,3
Mexico Liga de Ascenso Apertura-22,12:05,Atletico La Paz,CF Alebrijes de Oaxaca,2.5,2.9,2.7
China Super League Regular Season-22,19:30,Changchun Yatai,Shenzhen FC,1.5,4,5.6
Ukraine Premier League Regular Season-22,20:00,FC Veres Rivne,FC Rukh Vynnyky,2.35,3.1,2.9
Thailand T2 Regular Season-22,21:00,Nakhon Pathom FC,Rayong FC,2.1,3.1,3.1
Vietnam V-League 1 Regular Season-22,21:00,Hai Phong,Hoang Anh Gia Lai,1.75,3.6,3.6
Bulgaria Division 1 Regular Season-22,21:45,FC Septemvri (Sofia),Spartak Varna,1.65,3.4,4.6
Armenia Premier League Regular Season-22,22:00,FC Ararat-Armenia,BKMA,1.14,6.3,14
Vietnam V-League 1 Regular Season-22,22:15,TP Ho Chi Minh FC,Sai Gon FC,2.15,3.1,3
Bosnia and Herzegovina Premier League Regular Season-22,23:00,FK Tuzla City,Sarajevo,2.25,2.9,3
Bosnia and Herzegovina Premier League Regular Season-22,23:00,FK Velez Mostar,HSK Posusje,1.62,3.4,4.8
Poland 2. Liga Regular Season-22,23:00,RKS Garbarnia Krakow,Zaglebie Lubin II,1.8,3.4,3.6
Israel Liga Leumit Regular Season-22,23:00,Hapoel Nir Ramat HaSharon,Hapoel Akko,1.95,2.9,3.8
Israel Liga Leumit Regular Season-22,23:00,Kfar Kasem,Bnei Yehuda Tel Aviv,2.5,2.9,2.7
Israel Liga Leumit Regular Season-22,23:00,Hapoel Afula,Maccabi Petach Tikva,4.6,3.3,1.68
Israel Liga Leumit Regular Season-22,23:00,Hapoel Rishon Lezion,Maccabi Ahi-Nazrat,2.2,3,3
Israel Liga Leumit Regular Season-22,23:00,Hapoel Um El-Phahem,Agudat Sport Ashdod,2.05,3.1,3.2
Croatia 2. HNL Regular Season-22,23:30,HNK Orijent 1919,Kustosija,2.05,3.1,3.2
Bulgaria Division 1 Regular Season-22,1/10/2022 0:00,Cherno More,Botev Vratsa,1.32,4.4,7
Ukraine Premier League Regular Season-22,1/10/2022 0:00,FC Metalist 1925 Kharkiv,Kolos Kovalivka,3,3.1,2.25
Serbia Super Liga Regular Season-22,1/10/2022 1:00,Novi Pazar,Mladost Lucani,1.38,4.2,6.3
Morocco Botola Pro Regular Season-22,1/10/2022 1:00,FAR Rabat,DHJ El Jadida,1.35,4.2,7.3
Germany Regionalliga Bavaria Bayern-22,1/10/2022 1:00,DJK Vilzing,Rain am Lech,1.72,3.6,3.8
Germany Regionalliga Bavaria Bayern-22,1/10/2022 1:00,Bayern Munich II,Greuther Furth II,1.45,4.4,5
Armenia Premier League Regular Season-22,1/10/2022 1:30,Ararat Yerevan,FC Urartu,2.9,3.1,2.2
Finland Ykkonen Championship Round-22,1/10/2022 1:30,TPS Turku,KPV,1.3,4.8,7.6
Slovakia Super Liga Regular Season-22,1/10/2022 1:30,MFK Ruzomberok,MFK Skalica,1.9,3.3,3.4
Poland 1 Liga Regular Season-22,1/10/2022 2:00,LKS Lodz,Zaglebie Sosnowiec,2.2,3.2,3
Poland Ekstraklasa Regular Season-22,1/10/2022 2:00,RKS Radomiak Radom,Cracovia Krakow,2.25,3,2.9
Austria Erste Liga Regular Season-22,1/10/2022 2:10,SK Vorwaerts Steyr,SV Horn,3,3.4,2.05
Austria Erste Liga Regular Season-22,1/10/2022 2:10,FC Dornbirn,Austria Vienna (Am),2.25,3.4,2.6
Austria Erste Liga Regular Season-22,1/10/2022 2:10,First Vienna,KSV Superfund,1.38,4.4,6
Denmark Division 1 Regular Season-22,1/10/2022 2:30,Hvidovre,Vejle Boldklub,2.6,3.3,2.3
Germany Bundesliga 2 Regular Season-22,1/10/2022 2:30,SC Paderborn 07,SV Darmstadt 98,2.25,3.4,2.6
Germany Bundesliga 2 Regular Season-22,1/10/2022 2:30,Hannover 96,Hamburger SV,3.1,3.4,2
Bulgaria Division 1 Regular Season-22,1/10/2022 2:30,Botev Plovdiv,Slavia Sofia,1.9,3.2,3.6
Germany Bundesliga 3 Regular Season-22,1/10/2022 3:00,Erzgebirge Aue,Meppen,2,3.3,3.2
Denmark Superleague Regular Season-22,1/10/2022 3:00,AaB,OB Odense BK,2.1,3.4,3.1
Germany Regionalliga Bavaria Bayern-22,1/10/2022 3:00,Heimstetten,Wurzburger Kickers,8.5,5.6,1.22
Germany Regionalliga Bavaria Bayern-22,1/10/2022 3:00,Augsburg II,Hankofen-Hailing,2,3.4,3
Germany Regionalliga Bavaria Bayern-22,1/10/2022 3:00,FV Illertissen,Nurnberg II,2.7,3.4,2.2
Germany Regionalliga Bavaria Bayern-22,1/10/2022 3:00,SpVgg Unterhaching,Ansbach,1.38,4.6,5.6
