Sun 2 Oct 5:00,Atletico MG v Fluminense RJ ,1.9,3.3,4
Sun 2 Oct 5:00,Ceara v America (MG) ,2.15,3.1,3.5
Sun 2 Oct 5:00,Internacional v Santos SP ,1.75,3.4,4.75
Sun 2 Oct 9:00,Atletico PR v Juventude ,1.5,3.9,6.5
Sun 2 Oct 9:00,Avai v Atl Goianiense ,2.3,3.1,3.15
Sun 2 Oct 9:00,Flamengo v Bragantino SP ,1.52,4,6
Sun 2 Oct 9:00,Goias v Fortaleza ,2.9,3,2.5
Sun 2 Oct 11:00,Corinthians v Cuiaba ,1.65,3.4,5.5
Tue 4 Oct 9:00,Sao Paulo v Coritiba ,1.55,3.8,6
Tue 4 Oct 10:00,Botafogo RJ v Palmeiras ,3.8,3.4,1.95
