Sat 1 Oct 21:30,Arsenal v Tottenham ,2.05,3.7,3.5
Sun 2 Oct 0:00,Bournemouth v Brentford ,3.25,3.4,2.2
Sun 2 Oct 0:00,Crystal Palace v Chelsea ,4.25,3.5,1.85
Sun 2 Oct 0:00,Fulham v Newcastle ,2.9,3.4,2.4
Sun 2 Oct 0:00,Liverpool v Brighton HoveAlb ,1.35,5,9
Sun 2 Oct 0:00,Southampton v Everton ,2.15,3.3,3.4
Sun 2 Oct 3:30,West Ham v Wolverhampton ,1.92,3.4,3.9
Mon 3 Oct 0:00,Manchester City v Man United ,1.35,5,8.5
Mon 3 Oct 2:30,Leeds United v Aston Villa ,2.3,3.4,3
Tue 4 Oct 6:00,Leicester v Nottinghm Forest ,1.75,3.9,4.25
Sun 9 Oct 1:00,Bournemouth v Leicester ,3.15,3.4,2.15
Sun 9 Oct 1:00,Chelsea v Wolverhampton ,1.32,4.75,9
Sun 9 Oct 1:00,Manchester City v Southampton ,1.12,8.5,17
Sun 9 Oct 1:00,Newcastle v Brentford ,1.85,3.6,3.9
Sun 9 Oct 3:30,Brighton HoveAlb v Tottenham ,2.8,3.3,2.4
Mon 10 Oct 0:00,Crystal Palace v Leeds United ,2.05,3.5,3.3
Mon 10 Oct 0:00,West Ham v Fulham ,1.85,3.6,3.9
Mon 10 Oct 2:30,Arsenal v Liverpool ,2.6,3.6,2.4
Mon 10 Oct 5:00,Everton v Man United ,4,3.7,1.8
Tue 11 Oct 6:00,Nottinghm Forest v Aston Villa ,3,3.3,2.25
