Sat 1 Oct 5:00,Athletic Bilbao v Almeria ,1.35,4.75,8.5
Sat 1 Oct 22:00,Cadiz v Villarreal CF ,5.5,3.8,1.6
Sun 2 Oct 0:15,Getafe v Real Valladolid ,2.25,3.1,3.3
Sun 2 Oct 3:30,Sevilla v Atletico Madrid ,2.9,3.15,2.4
Sun 2 Oct 6:00,Mallorca v Barcelona ,9,5,1.32
Sun 2 Oct 23:00,Espanyol v Valencia ,2.6,3.2,2.7
Mon 3 Oct 1:15,Celta Vigo v Real Betis ,2.4,3.2,2.8
Mon 3 Oct 3:30,Girona v Real Sociedad ,3.15,3.1,2.3
Mon 3 Oct 6:00,Real Madrid v Osasuna ,1.3,5,9
Tue 4 Oct 6:00,Rayo Vallecano v Elche Cf ,1.7,3.5,5
Sat 8 Oct 6:00,Osasuna v Valencia ,2.25,3.2,3.1
Sat 8 Oct 23:00,Almeria v Rayo Vallecano ,2.5,3.25,2.7
Sun 9 Oct 1:15,Atletico Madrid v Girona ,1.45,4.25,6.5
Sun 9 Oct 3:30,Sevilla v Athletic Bilbao ,2.6,3.15,2.7
Sun 9 Oct 6:00,Getafe v Real Madrid ,6,4.25,1.48
Sun 9 Oct 23:00,Real Valladolid v Real Betis ,3,3.3,2.25
Mon 10 Oct 1:15,Cadiz v Espanyol ,2.9,3.2,2.4
Mon 10 Oct 3:30,Real Sociedad v Villarreal CF ,2.5,3.25,2.7
Mon 10 Oct 6:00,Barcelona v Celta Vigo ,1.25,5.5,10
Tue 11 Oct 6:00,Elche Cf v Mallorca ,2.6,3.1,2.7
